City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,14.33,82,34,1.81,ZA,1680548277
1,zeya,53.75,127.2667,-6.35,91,100,3.36,RU,1680548279
2,albany,42.6001,-73.9662,15.91,32,19,4.02,US,1680548008
3,provideniya,64.3833,-173.3,-13.56,94,89,3.39,RU,1680548283
4,cape town,-33.9258,18.4232,17.84,84,0,2.57,ZA,1680548116
5,rikitea,-23.1203,-134.9692,26.37,83,70,6.05,PF,1680548291
6,deputatskiy,69.3,139.9,-19.55,100,63,1.73,RU,1680548294
7,bilma,18.6853,12.9164,28.2,5,99,3.53,NE,1680548296
8,atuona,-9.8,-139.0333,26.59,83,97,7.64,PF,1680548301
9,sikeston,36.8767,-89.5879,23.98,53,0,4.63,US,1680548306
10,avarua,-21.2078,-159.775,26.03,65,20,2.06,CK,1680548308
11,port elizabeth,-33.918,25.5701,18.94,85,0,9.26,ZA,1680548311
12,maryville,35.7565,-83.9705,16.14,57,100,4.12,US,1680548313
13,neryungri,56.6709,124.6491,-10.9,89,100,5.84,RU,1680548316
14,kodiak,57.79,-152.4072,0.73,93,100,3.09,US,1680548318
15,petapa,14.5028,-90.5517,28.47,47,20,3.09,GT,1680548320
16,punta arenas,-53.15,-70.9167,20.06,30,75,10.29,CL,1680548322
17,saint george,37.1041,-113.5841,16.64,30,100,12.86,US,1680548324
18,rottingdean,50.8098,-0.0594,8.79,68,0,5.14,GB,1680548327
19,hobart,-42.8794,147.3294,12.25,88,100,2.57,AU,1680548329
20,imaculada,-7.3897,-37.5092,25.74,54,100,1.0,BR,1680548332
21,baiyin,36.5583,104.2081,2.19,81,100,1.9,CN,1680548337
22,kruisfontein,-34.0033,24.7314,17.71,86,100,6.14,ZA,1680548339
23,buraydah,26.326,43.975,21.25,14,0,4.03,SA,1680548341
24,ushuaia,-54.8,-68.3,17.81,34,20,7.72,AR,1680548344
25,paamiut,61.994,-49.6678,1.95,84,100,4.59,GL,1680548347
26,mar del plata,-38.0023,-57.5575,20.05,79,75,3.6,AR,1680548349
27,shenjiamen,29.9576,122.298,15.68,90,100,10.03,CN,1680548352
28,belyy yar,53.6039,91.3903,-2.06,43,0,2.0,RU,1680548354
29,port hardy,50.6996,-127.4199,7.1,70,75,1.54,CA,1680548357
30,pachmarhi,22.4667,78.4333,21.66,26,0,2.08,IN,1680548291
31,zabaykalsk,49.6333,117.3167,-6.54,40,0,8.04,RU,1680548362
32,tabou,4.423,-7.3528,26.95,82,40,2.69,CI,1680548365
33,tiksi,71.6872,128.8694,-13.95,96,78,3.5,RU,1680548367
34,saldanha,-33.0117,17.9442,17.03,85,8,4.31,ZA,1680548370
35,verkh-usugli,52.7,115.1667,-11.3,65,10,2.76,RU,1680548372
36,faanui,-16.4833,-151.75,27.71,70,32,2.25,PF,1680548375
37,yellowknife,62.456,-114.3525,-10.71,62,40,2.06,CA,1680548377
38,masaki,33.7876,132.7112,10.83,56,100,0.45,JP,1680548379
39,kapaa,22.0752,-159.319,23.99,91,9,0.45,US,1680548382
40,mataura,-46.1927,168.8643,14.71,86,89,1.03,NZ,1680548384
41,severo-kurilsk,50.6789,156.125,-0.09,94,69,5.73,RU,1680548388
42,bluff,-46.6,168.3333,14.89,76,90,6.32,NZ,1680548390
43,taseyevo,57.2169,94.8978,-1.54,90,100,5.26,RU,1680548392
44,san rafael,-34.6177,-68.3301,25.53,32,100,3.87,AR,1680548106
45,san cristobal,7.7669,-72.225,29.1,40,41,2.83,VE,1680548397
46,ancud,-41.8697,-73.8203,14.38,65,6,3.0,CL,1680548399
47,mogadishu,2.0371,45.3438,28.22,75,61,5.94,SO,1680548278
48,aswan,24.0934,32.907,27.61,11,0,0.0,EG,1680548405
49,lebu,-37.6167,-73.65,13.54,74,0,10.68,CL,1680548412
50,arraial do cabo,-22.9661,-42.0278,26.98,61,40,4.12,BR,1680548419
51,grand-lahou,5.1367,-5.0242,26.92,82,21,2.86,CI,1680548440
52,new norfolk,-42.7826,147.0587,12.06,74,100,1.27,AU,1680548356
53,geraldton,-28.7667,114.6,19.23,82,28,3.6,AU,1680548446
54,banes,20.9625,-75.7186,29.83,52,5,6.49,CU,1680548450
55,dikson,73.5069,80.5464,-26.98,100,100,4.61,RU,1680548354
56,grand gaube,-20.0064,57.6608,26.32,74,100,0.89,MU,1680548455
57,tasiilaq,65.6145,-37.6368,-2.91,86,100,1.86,GL,1680548457
58,kaeo,-35.1,173.7833,14.46,70,81,2.87,NZ,1680548459
59,saint-philippe,-21.3585,55.7679,23.77,82,99,4.32,RE,1680548365
60,santa maria,-29.6842,-53.8069,29.61,42,0,1.54,BR,1680548259
61,ciudad del maiz,22.4,-99.6,33.01,28,72,0.28,MX,1680548471
62,mayo,38.8876,-76.5119,22.86,56,0,7.72,US,1680548475
63,bhit shah,25.8044,68.4927,28.03,40,0,8.15,PK,1680548477
64,kavieng,-2.5744,150.7967,27.13,76,100,2.11,PG,1680548483
65,qaanaaq,77.484,-69.3632,-21.74,75,6,1.67,GL,1680548486
66,busselton,-33.65,115.3333,14.11,86,8,2.74,AU,1680548379
67,castro,-24.7911,-50.0119,23.72,56,0,2.16,BR,1680548492
68,loveland,40.3978,-105.075,11.98,49,100,4.12,US,1680548494
69,kaitangata,-46.2817,169.8464,9.48,85,59,1.69,NZ,1680548496
70,hofn,64.2539,-15.2082,8.01,93,100,10.29,IS,1680548499
71,nampula,-15.1165,39.2666,22.97,94,40,4.12,MZ,1680548501
72,pevek,69.7008,170.3133,-32.12,99,33,3.45,RU,1680548406
73,fort nelson,58.8053,-122.7002,-2.23,59,75,5.14,CA,1680548511
74,hithadhoo,-0.6,73.0833,28.02,74,100,4.43,MV,1680548515
75,mahibadhoo,3.7833,72.9667,27.89,73,10,2.32,MV,1680548517
76,bredasdorp,-34.5322,20.0403,16.76,79,25,1.93,ZA,1680548499
77,alexandria,31.2156,29.9553,23.3,49,0,3.09,EG,1680548503
78,carnarvon,-24.8667,113.6333,24.29,76,3,6.89,AU,1680548524
79,tatawin,32.9297,10.4518,17.01,30,50,7.6,TN,1680548527
80,obo,5.3998,26.4869,26.45,25,3,2.19,CF,1680548442
81,mahebourg,-20.4081,57.7,26.25,83,40,3.09,MU,1680548484
82,chernyshevskiy,63.0128,112.4714,-5.61,95,100,4.53,RU,1680548534
83,luanda,-8.8368,13.2343,28.0,74,40,4.63,AO,1680548444
84,hilo,19.7297,-155.09,24.04,89,100,2.57,US,1680548379
85,ribeira grande,38.5167,-28.7,16.22,67,20,5.66,PT,1680548384
86,clyde river,70.4692,-68.5914,-22.87,84,0,3.09,CA,1680548544
87,port lincoln,-34.7333,135.8667,17.63,72,5,2.52,AU,1680548546
88,bethel,41.3712,-73.414,15.2,42,2,1.79,US,1680548549
89,latung,5.5,120.8833,27.34,80,100,4.69,PH,1680548552
90,ola,59.5833,151.2833,-18.12,84,29,3.54,RU,1680548555
91,padang,-0.9492,100.3543,24.85,86,100,1.11,ID,1680548284
92,nador,35.174,-2.9287,19.04,67,0,2.06,MA,1680548559
93,ponta do sol,32.6667,-17.1,19.51,58,63,3.72,PT,1680548491
94,annan,54.9884,-3.2565,8.32,75,100,0.46,GB,1680548408
95,alofi,-19.0595,-169.9187,24.94,94,75,5.14,NU,1680548570
96,cabo san lucas,22.8909,-109.9124,27.81,48,100,5.11,MX,1680548572
97,cockburn town,21.4612,-71.1419,27.98,61,40,5.14,TC,1680548523
98,bowen,-20.0167,148.2333,23.66,92,97,3.42,AU,1680548578
99,leningradskiy,69.3833,178.4167,-31.67,97,8,2.21,RU,1680548582
100,georgetown,5.4112,100.3354,25.97,87,20,0.0,MY,1680548472
101,jamestown,42.097,-79.2353,16.8,41,0,5.14,US,1680548460
102,agadez,19.75,10.25,23.6,8,95,1.33,NE,1680548590
103,christchurch,-43.5333,172.6333,7.75,91,100,0.51,NZ,1680548421
104,butaritari,3.0707,172.7902,27.68,80,100,8.23,KI,1680548469
105,aguascalientes,21.8833,-102.3,27.17,18,96,4.22,MX,1680548441
106,altay,47.8667,88.1167,-5.79,41,0,3.15,CN,1680548599
107,khatanga,71.9667,102.5,-23.14,98,100,2.98,RU,1680548547
108,tuktoyaktuk,69.4541,-133.0374,-21.0,77,75,1.54,CA,1680548480
109,punuare,14.7333,-85.9667,35.42,30,8,4.12,HN,1680548606
110,mujiayingzi,42.1167,118.7833,2.22,84,100,3.47,CN,1680548609
111,san patricio,28.017,-97.5169,33.98,52,99,7.01,US,1680548613
112,knysna,-34.0363,23.0471,16.25,91,99,2.25,ZA,1680548616
113,dumas,35.8656,-101.9732,27.08,6,0,9.77,US,1680548621
114,norman wells,65.282,-126.8329,-7.98,86,100,2.57,CA,1680548623
115,bambous virieux,-20.3428,57.7575,26.23,83,40,3.09,MU,1680548400
116,nhulunbuy,-12.2333,136.7667,26.34,94,100,2.06,AU,1680548630
117,whitehorse,60.7161,-135.0538,-2.72,59,75,0.45,CA,1680548625
118,taoudenni,22.6783,-3.9836,31.93,5,0,0.76,ML,1680548634
119,lavrentiya,65.5833,-171.0,-15.66,94,95,2.33,RU,1680548443
120,nizhniy kuranakh,58.8353,125.4869,-9.28,94,100,4.39,RU,1680548640
121,porto novo,6.4965,2.6036,29.9,76,100,4.62,BJ,1680548533
122,lagoa,39.05,-27.9833,14.5,71,100,6.16,PT,1680548646
123,nome,64.5011,-165.4064,-13.24,86,100,1.27,US,1680548534
124,lerwick,60.1545,-1.1494,7.0,77,42,8.99,GB,1680548651
125,havoysund,70.9963,24.6622,1.13,75,59,8.11,NO,1680548653
126,cecina,43.3128,10.524,14.32,52,0,9.15,IT,1680548656
127,jasper,37.2001,-94.3502,27.71,44,0,5.14,US,1680548659
128,puerto ayora,-0.7393,-90.3518,30.98,88,100,2.68,EC,1680548368
129,carutapera,-1.195,-46.02,23.05,97,100,1.53,BR,1680548663
130,hamilton,39.1834,-84.5333,20.43,64,100,2.24,US,1680548250
